Заголовок,Категория,Источник,Дата,Ссылка,Краткое описание
"Нарколог рассказал о вызывающем преждевременное старение алкоголе","Забота о себе","LENTA","Fri, 15 May 2026 05:30:30 +0300","https://lenta.ru/news/2026/05/15/narkolog-rasskazal-o-vyzyvayuschem-prezhdevremennoe-starenie-alkogole/","отсутсвует"
"Блогер описал отношение к россиянам в мексиканской деревне словами «на тебя смотрят»","Путешествия","LENTA","Fri, 15 May 2026 05:30:21 +0300","https://lenta.ru/news/2026/05/15/bloger-opisal-otnoshenie-k-rossiyanam-v-meksikanskoy-derevne-slovami-na-tebya-smotryat/","отсутсвует"
"Названы проблемы китайского лифтбека Zeekr","Авто","LENTA","Fri, 15 May 2026 05:30:00 +0300","https://lenta.ru/news/2026/05/15/nazvany-problemy-kitayskogo-liftbeka-zeekr/","отсутсвует"
"Трамп рассказал о дальнейших планах по «ядерной пыли» в Иране","Мир","LENTA","Fri, 15 May 2026 05:20:00 +0300","https://lenta.ru/news/2026/05/15/uran/","отсутсвует"
"Трамп заявил о готовности Китая инвестировать в компании США","Мир","LENTA","Fri, 15 May 2026 05:18:51 +0300","https://lenta.ru/news/2026/05/15/tramp-zayavil-o-gotovnosti-kitaya-investirovat-v-kompanii-ssha/","отсутсвует"
"«Предстоит очень больно ответить». В России рассказали, что грозит европейским лидерам за контакты с Зеленским","Россия","LENTA","Fri, 15 May 2026 05:05:00 +0300","https://lenta.ru/news/2026/05/15/predstoit-ochen-bolno-otvetit-v-rossii-rasskazali-chto-grozit-evropeyskim-lideram-za-kontakty-s-zelenskim/","отсутсвует"
"Трамп пригрозил уничтожить Иран при одном условии","Мир","LENTA","Fri, 15 May 2026 05:04:00 +0300","https://lenta.ru/news/2026/05/15/tramp-prigrozil-unichtozhit-iran-pri-odnom-uslovii/","отсутсвует"
"Мужчины увлеклись увеличением тестикулов до размеров грейпфрута","Забота о себе","LENTA","Fri, 15 May 2026 04:59:11 +0300","https://lenta.ru/news/2026/05/15/muzhchiny-uvleklis-uvelicheniem-testikulov-do-razmerov-greypfruta/","отсутсвует"
"Отравившая мужа коктейлем американка оказалась живодеркой","Из жизни","LENTA","Fri, 15 May 2026 04:59:05 +0300","https://lenta.ru/news/2026/05/15/otravivshaya-muzha-kokteylem-amerikanka-okazalas-zhivoderkoy/","отсутсвует"
"Американский профессор заявил о крушении империи в США из-за Украины","Мир","LENTA","Fri, 15 May 2026 04:59:00 +0300","https://lenta.ru/news/2026/05/15/usaa/","отсутсвует"
"Назван интересант коррупционного скандала с Зеленским","Мир","LENTA","Fri, 15 May 2026 04:52:00 +0300","https://lenta.ru/news/2026/05/15/nazvan-interesant-korruptsionnogo-skandala-s-zelenskim/","отсутсвует"
"Врач назвал срок формирования бытового алкоголизма","Забота о себе","LENTA","Fri, 15 May 2026 04:34:42 +0300","https://lenta.ru/news/2026/05/15/vrach-nazval-srok-formirovaniya-bytovogo-alkogolizma/","отсутсвует"
"Обломки дрона повредили жилые дома в Рязани","Россия","LENTA","Fri, 15 May 2026 04:24:38 +0300","https://lenta.ru/news/2026/05/15/oblomki-drona-povredili-zhilye-doma-v-ryazani/","отсутсвует"
"Спаривающиеся черные толстоножки захватили пляжи в одной стране","Из жизни","LENTA","Fri, 15 May 2026 04:05:05 +0300","https://lenta.ru/news/2026/05/15/sparivayuschiesya-chernye-tolstonozhki-zahvatili-plyazhi-v-odnoy-strane/","отсутсвует"
"Полковник высказался о возможных точках новых военных конфликтов в 2026 году","Мир","LENTA","Fri, 15 May 2026 04:05:00 +0300","https://lenta.ru/news/2026/05/15/polkovnik-vyskazalsya-o-vozmozhnyh-tochkah-novyh-voennyh-konfliktov-v-2026-godu/","отсутсвует"
"ВВС США заменят MQ-9 Reaper на более простой и массовый БПЛА","Наука и техника","LENTA","Fri, 15 May 2026 04:04:56 +0300","https://lenta.ru/news/2026/05/15/vvs-ssha-zamenyat-mq-9-reaper-na-bolee-prostoy-i-massovyy-bpla/","отсутсвует"
"Украсившая обложку Sports Illustrated комик в бикини испугалась конфуза из-за наряда","Ценности","LENTA","Fri, 15 May 2026 04:04:49 +0300","https://lenta.ru/news/2026/05/15/ukrasivshaya-oblozhku/","отсутсвует"
"Парень углубился в чащу леса и изрядно подпортил жизнь незнакомцу","Интернет и СМИ","LENTA","Fri, 15 May 2026 04:04:43 +0300","https://lenta.ru/news/2026/05/15/paren-uglubilsya-v-chaschu-lesa-i-izryadno-podportil-zhizn-neznakomtsu/","отсутсвует"
"Макгрегор рассказал о тяжелом положении Украины","Мир","LENTA","Fri, 15 May 2026 04:02:00 +0300","https://lenta.ru/news/2026/05/15/ukrr/","отсутсвует"
"«Катастрофическая угроза». На Западе забили тревогу после предупреждения Путина","Наука и техника","LENTA","Fri, 15 May 2026 03:51:00 +0300","https://lenta.ru/news/2026/05/15/katastroficheskaya-ugroza-na-zapade-zabili-trevogu-posle-preduprezhdeniya-putina/","отсутсвует"
"Экс-помощник Кучмы заявил об отношении Зеленского к украинцам как к рабам","Бывший СССР","LENTA","Fri, 15 May 2026 03:38:00 +0300","https://lenta.ru/news/2026/05/15/eks-pomoschnik-kuchmy-zayavil-ob-otshnosheni/","отсутсвует"
"В МИД рассказали о действиях США в ущерб России","Мир","LENTA","Fri, 15 May 2026 03:31:06 +0300","https://lenta.ru/news/2026/05/15/usa/","отсутсвует"
"Россиянка описала Армению словами «личные вопросы — это норма»","Путешествия","LENTA","Fri, 15 May 2026 03:30:15 +0300","https://lenta.ru/news/2026/05/15/rossiyanka-opisala-armeniyu-slovami-lichnye-voprosy-eto-norma/","отсутсвует"
"Ущерб постсоветской страны от антироссийских санкций оценили","Экономика","LENTA","Fri, 15 May 2026 03:17:45 +0300","https://lenta.ru/news/2026/05/15/uscherb-strany-ot-antirossiyskih-sanktsiy-otsenili/","отсутсвует"
"В США рассказали об отсутствии систем ПВО у Украины","Мир","LENTA","Fri, 15 May 2026 03:14:16 +0300","https://lenta.ru/news/2026/05/15/pvo/","отсутсвует"
"Жители Рязани сообщили о мощных взрывах и работе ПВО","Россия","LENTA","Fri, 15 May 2026 03:05:11 +0300","https://lenta.ru/news/2026/05/15/zhiteli-ryazani-soobschili-o-moschnyh-vzryvah-i-rabote-pvo/","отсутсвует"
"19-летний рыбак пережил удар молнии","Из жизни","LENTA","Fri, 15 May 2026 03:01:00 +0300","https://lenta.ru/news/2026/05/15/19-letniy-rybak-perezhil-udar-molnii/","отсутсвует"
"Психотерапевт объяснила ненависть женщин к популярному на порносайтах фетишу","Забота о себе","LENTA","Fri, 15 May 2026 03:01:00 +0300","https://lenta.ru/news/2026/05/15/psihoterapevt-ob-yasnila-nenavist-zhenschin-k-populyarnomu-na-pornosaytah-fetishu/","отсутсвует"
"Первые пять российских пациентов получили вакцину от рака","Россия","LENTA","Fri, 15 May 2026 02:54:13 +0300","https://lenta.ru/news/2026/05/15/pervye-pyat-rossiyskih-patsientov-poluchili-vaktsinu-ot-raka/","отсутсвует"
"Трампу посоветовали прогнозы Жириновского","Мир","LENTA","Fri, 15 May 2026 02:50:44 +0300","https://lenta.ru/news/2026/05/15/trampu-posovetovali-prognozy-zhirinovskogo/","отсутсвует"
"Финская компания обнаружила крупные залежи золота на границе с Россией","Мир","LENTA","Fri, 15 May 2026 02:44:00 +0300","https://lenta.ru/news/2026/05/15/zoloto/","отсутсвует"
"Россиянам захотели возвращать часть расходов на свадьбу","Экономика","LENTA","Fri, 15 May 2026 02:38:00 +0300","https://lenta.ru/news/2026/05/15/rossiyanam-zahoteli-vozvraschat-chast-rashodov-na-svadbu/","отсутсвует"
"Пентагон признал только один удар по мирным жителям в Иране","Мир","LENTA","Fri, 15 May 2026 02:32:27 +0300","https://lenta.ru/news/2026/05/15/pentagon-priznal-tolko-odin-udar-po-mirnym-zhitelyam-v-irane/","отсутсвует"
"Мерц высказался о переговорщике для диалога с Россией по Украине","Мир","LENTA","Fri, 15 May 2026 02:26:33 +0300","https://lenta.ru/news/2026/05/15/merts-vyskazalsya-o-peregovorschike-dlya-dialoga-s-rossiey-po-ukraine/","отсутсвует"
"Мирошник перечислил применяемые ВСУ методы пыток","Бывший СССР","LENTA","Fri, 15 May 2026 02:14:45 +0300","https://lenta.ru/news/2026/05/15/vsu/","отсутсвует"
"Система ПВО сбила летевшие на Москву беспилотники","Россия","LENTA","Fri, 15 May 2026 02:11:07 +0300","https://lenta.ru/news/2026/05/15/sistema-pvo-sbila-letevshie-na-moskvu-bespilotniki/","отсутсвует"
"В США заявили о скверной ситуации из-за поставок оружия Киеву","Мир","LENTA","Fri, 15 May 2026 02:07:02 +0300","https://lenta.ru/news/2026/05/15/v-ssha-zayavili-o-skvernoy-situatsii/","отсутсвует"
"Медсестра забеременела от пациента психиатрической больницы и попала в тюрьму","Из жизни","LENTA","Fri, 15 May 2026 02:01:47 +0300","https://lenta.ru/news/2026/05/15/medsestra-zaberemenela-ot-patsienta-psihiatricheskoy-bolnitsy-i-popala-v-tyurmu/","отсутсвует"
"Дефицит одного витамина связали с риском внезапной потери слуха","Наука и техника","LENTA","Fri, 15 May 2026 02:01:44 +0300","https://lenta.ru/news/2026/05/15/defitsit-odnogo-vitamina-svyazali-s-riskom-vnezapnoy-poteri-sluha/","отсутсвует"
"Латвийский депутат заявил о двух шагах до краха Евросоюза","Бывший СССР","LENTA","Fri, 15 May 2026 02:00:15 +0300","https://lenta.ru/news/2026/05/15/latviyskiy-deputat-zayavil-o-dvuh-shagah-do-kraha-evrosoyuza/","отсутсвует"
"Трамп анонсировал продолжение военных действий против Ирана","Мир","LENTA","Fri, 15 May 2026 01:58:04 +0300","https://lenta.ru/news/2026/05/15/tramp-anonsiroval-prodolzhenie-voennyh-deystviy-protiv-irana/","отсутсвует"
"Чем закончился государственный визит Владимира Путина в Казахстан","Политика","RBC","29.05.2026","https://www.rbc.ru/politics/29/05/2026/6a196ded9a794766d3d885db Россия и Казахстан начали работу над увеличением поставок нефти в Китайhttps://s0.rbk.ru/v6_top_pics/media/img/9/17/347800362585179.jpegimage/jpegoriginallimitedMikhail Kokhanc / IMAGO / Global Look Press Трехдневный визит Владимира Путина в Казахстан. Спецвыпуск телеканала РБК Как проходит государственный визит Путина в Казахстан. Фоторепортаж","29 марта завершился трехдневный госвизит Владимира Путина в Казахстан. Он был приурочен к саммиту ЕАЭС, на котором лидеры должны были обсудить судьбу Армении в этом объединении. Подробнее — в материале РБК"
"Зеленский расширил состав ставки верховного главнокомандующего","Политика","RBC","29.05.2026","https://www.rbc.ru/rbcfreenews/6a19d1bc9a79475bfb56ac25","Президент Украины Владимир Зеленских расширил состав ставки верховного главнокомандующего и ввел в него двух человек: министра финансов Сергея Марченко и председателя комитета Верховной рады по вопросам национальной безопасности, обороны и разведки Александра Звитневича."
"Румыния призвала НАТО ускорить поставки ПВО после инцидента с дроном","Политика","RBC","29.05.2026","https://www.rbc.ru/politics/29/05/2026/6a19cfc99a794773473b4967","Румыния попросила НАТО ускорить поставки средств ПВО после инцидента с беспилотником, попавшим в многоквартирный дом в городе Галац недалеко от границы с Украиной."
"В «ФосАгро» рекомендовали не выплачивать финальные дивиденды за 2025 год","Инвестиции","RBC","29.05.2026","https://www.rbc.ru/quote/29/05/2026/6a19cd769a794731bcfc58b3","За первое полугодие агропромышленный холдинг выплатил акционерам ₽273 на акцию, за третий квартал выплат не было"
"Путин заявил о дискуссиях с Лукашенко по поводу роста утильсбора","Общество","RBC","29.05.2026","https://www.rbc.ru/rbcfreenews/6a19ccde9a79475d89cf2d17 Москвич подал жалобу в Конституционный суд на новые правила утильсбораhttps://s0.rbk.ru/v6_top_pics/media/img/8/85/347737394587858.jpegimage/jpegoriginallimitedОлег Яковлев / РБК Казахстан решил зеркально ответить на рост утильсбора в Россииhttps://s0.rbk.ru/v6_top_pics/media/img/2/07/347731388232072.jpegimage/jpegoriginallimitedartaxerxes_photo / Shutterstock Минпромторг объяснил, кого не коснется изменение расчета утильсбораhttps://s0.rbk.ru/v6_top_pics/media/img/1/94/347709926538941.jpegimage/jpegoriginallimitedЕгор Алеев / ТАСС","Президент России Владимир Путин не поднимал вопрос утильсбора в ходе встречи с президентом Белоруссии Александром Лукашенко на полях саммита Евразийского экономического союза (ЕАЭС) в Астане."
"Путин пригрозил «сровнять с землей» за попытки атаковать Калининград","Политика","RBC","29.05.2026","https://www.rbc.ru/politics/29/05/2026/6a19c5909a7947c3d8ed7218","У России есть все средства для того чтобы &laquo;сровнять с землей&raquo; страны, которые попытаются напасть на Калининградскую область, заявил президент России Владимир Путин на пресс-конференции по итогам&nbsp;саммита ЕАЭС в Казахстане, передает корреспондент РБК."
"За день силы ПВО сбили в регионах России 24 украинских дрона","Политика","RBC","29.05.2026","https://www.rbc.ru/rbcfreenews/6a19cb319a7947105e4a9c5c","В течение дня, с 8:00 до 20:00 мск, в российских регионах силы противовоздушной обороны перехватили и уничтожили 24 украинских дрона, сообщает пресс-служба Минобороны."
"Алтушкин рассказал, как легионеры могут принести пользу спорту в России","Спорт","RBC","29.05.2026","https://www.rbc.ru/sport/29/05/2026/6a199a1b9a79470c656a06a5 Алтушкин сообщил о планах провести бой Бивол — Бетербиев в Екатеринбургеhttps://s0.rbk.ru/v6_top_pics/media/img/1/27/347800616611271.jpegimage/jpegoriginallimitedРМК<p>Игорь Алтушкин и Дмитрий Бивол</p> Какие клубы РПЛ хуже всего готовы к новому лимиту на легионеровhttps://s0.rbk.ru/v6_top_pics/media/img/0/04/347640724743040.jpegimage/jpegoriginallimited Сергей Савостьянов / ТАСС<p>Футболисты &laquo;Локомотива&raquo;</p> Дегтярев пообещал вернуться к сокращению легионеров в РПЛ через годhttps://s0.rbk.ru/v6_top_pics/media/img/8/36/347791838633368.jpegimage/jpegoriginallimitedАртем Геодакян / ТАСС<p>Михаил Дегтярев</p>","Основатель Русской медной компании заявил, что иностранные специалисты нужны для обучения и передачи опыта. «Надо учиться у сильнейших, а потом превосходить их», — добавил он"
"Хинштейн заявил, что на Украине еще находятся 15 жителей Курской области","Политика","RBC","29.05.2026","https://www.rbc.ru/rbcfreenews/6a19c9f29a79476a5f3828db","На Украине находятся 15 жителей Курской области, которых еще предстоит вернуть домой, сообщил губернатор региона Александр Хинштейн."
"РЖД объявило об услуге поездки в поездах детей с 10 лет без взрослых","Общество","RBC","29.05.2026","https://www.rbc.ru/rbcfreenews/6a19b0949a7947d14f447110 РЖД запустят прямой поезд Москва — Душанбе после перерыва из-за COVID-19https://s0.rbk.ru/v6_top_pics/media/img/1/01/347800510161011.jpegimage/jpegoriginallimitedAlexelA / Shutterstock РЖД разрешили продажу билетов в Абхазию детям по свидетельству о рожденииhttps://s0.rbk.ru/v6_top_pics/media/img/4/31/347799915576314.jpegimage/jpegoriginallimitedСергей Петров / NEWS.ru / Global Look Press Пассажирскую «дочку» РЖД возглавит экс-начальник московского метроhttps://s0.rbk.ru/v6_top_pics/media/img/2/00/347793902466002.jpegimage/jpegoriginallimitedАлександр Щербак / ТАСС<p>Дмитрий Пегов</p>","Дети с 10 до 16 лет смогут путешествовать на поездах без взрослых по 24 маршрутам с 1 июня, сообщили в РЖД."
"Путин провел параллель между Арменией и началом кризиса на Украине","Политика","RBC","29.05.2026","https://www.rbc.ru/rbcfreenews/6a19bf379a79471b360d109c Путин рассказал, что изменится для граждан Армении после выхода из ЕАЭСhttps://s0.rbk.ru/v6_top_pics/media/img/7/39/347800725563397.jpegimage/jpegoriginallimitedMaja Hitij / Getty Images Армения предложила ускорить расширение зон свободной торговли с ЕАЭСhttps://s0.rbk.ru/v6_top_pics/media/img/2/87/347800658775872.jpegimage/jpegoriginallimitedАлександр Казаков / ТАСС<p>Мгер Григорян</p> Пресс-конференция Путина по итогам саммита ЕАЭС в Астане. Полное видео","Кризис на Украине начинался с ситуации, которая была похожа на то, что сейчас происходит в Армении, заявил на пресс-конференции по итогам саммита ЕАЭС в Астане президент Владимир Путин, передает корреспондент РБК."
"Главный экономист «Т-Инвестиций» назвала лучшие ОФЗ","Радио","RBC","29.05.2026","https://www.rbc.ru/radio/29/05/2026/6a19c4c69a79473743c3ff44","На Радио РБК главный экономист «Т-Инвестиций» Софья Донец назвала наиболее привлекательные для инвестора ОФЗ"
"Россельхознадзор опроверг ограничения на овощи и фрукты из Узбекистана","Политика","RBC","29.05.2026","https://www.rbc.ru/rbcfreenews/6a19c3999a79476725f8a9c7 В Армении сообщили о переговорах с Россией по ввозу сельхозтоваровhttps://s0.rbk.ru/v6_top_pics/media/img/6/82/347800665950826.jpegimage/jpegoriginallimitedLevon Avagyan / Shutterstock Россельхознадзор ограничит ввоз овощей и фруктов из Арменииhttps://s0.rbk.ru/v6_top_pics/media/img/7/99/347799665938997.jpegimage/jpegoriginallimitedКомсомольская Правда / Global Look Press В Россию приостановили ввоз воды «Джермук» из Арменииhttps://s0.rbk.ru/v6_top_pics/media/img/6/91/347794642486916.jpegimage/jpegoriginallimitedСофья Сандурская / ТАСС","Россельхознадзор уточнил, что обратился «в компетентное ведомство Узбекистана» для проведения технических переговоров, чтобы выработать механизм, обеспечивающий безопасные поставки овощей и фруктов в Россию"
"Путин назвал выбор переговорщика для контактов с Россией делом ЕС","Политика","RBC","29.05.2026","https://www.rbc.ru/politics/29/05/2026/6a19c2ed9a79476845aaefa8 Politico назвал трех кандидатов на роль переговорщика ЕС с Россиейhttps://s0.rbk.ru/v6_top_pics/media/img/2/30/347790949341302.jpegimage/jpegoriginallimitedMichele Tantussi / Getty Images<p>Ангела&nbsp;Меркель</p> Власти ЕС заявили о подготовке к переговорам с Россиейhttps://s0.rbk.ru/v6_top_pics/media/img/8/89/347781745800898.jpegimage/jpegoriginallimitedLeon Neal / Getty Images<p>Антониу Кошта</p> Путин назвал предпочтительного переговорщика от Европыhttps://s0.rbk.ru/v6_top_pics/media/img/9/12/347783525672129.jpegimage/jpegoriginallimitedMichael Kappeler / dpa / Global Look Press<p>Герхард Шредер</p>","Европа должна сама выбрать переговорщика для диалога с Россией, Москва же решит, соглашаться ли контактировать с ним, заявил российский лидер Владимир Путин. Ранее он называл кандидатуру экс-канцлера ФРГ Шрёдера"
"VIP-сопровождение и номера за 900 тыс. руб.: кто зарабатывает на ПМЭФ","Радио","RBC","29.05.2026","https://www.rbc.ru/radio/29/05/2026/6a19c3329a7947179050b57c","Участие в ПМЭФ стоит миллионы рублей, а цены на отели, рестораны и вечеринки в Петербурге на время форума растут в разы. Кто зарабатывает на главном деловом событии страны — в программе «Экономика впечатлений» на Радио РБК"
"КДК оштрафовал «Спартак» и «Краснодар» по итогам суперфинала Кубка России","Спорт","RBC","29.05.2026","https://www.rbc.ru/sport/29/05/2026/6a19bc909a79476c9fcc83b7 Футболисты «Спартака» облили тренера шампанским на пресс-конференцииhttps://s0.rbk.ru/v6_top_pics/media/img/0/20/347796518973200.pngimage/pngoriginallimited Роман Шлуинский / ТАСС<p>Хуан Карседо</p> Фанаты «Спартака» после победы в Кубке спели на стадионе песню МакSимhttps://s0.rbk.ru/v6_top_pics/media/img/3/41/347796484676413.pngimage/pngoriginallimitedРБК Футболист «Спартака» сломал Кубок России во время празднованияhttps://s0.rbk.ru/v6_top_pics/media/img/6/24/347796463388246.pngimage/pngoriginallimitedТелеграм-канал ФК «Спартак»","«Спартак» оштрафован на 100 тыс. рублей, «Краснодар» — на 150 тыс. Также наказание получил главный тренер краснодарского клуба Мурад Мусаев"
"Путин назвал «наглой ложью» заявления о подготовке России к войне с ЕС","Политика","RBC","29.05.2026","https://www.rbc.ru/politics/29/05/2026/6a19bd719a79471335311a0a Постпред при ОБСЕ заявил о движении Европы «семимильными шагами» к войнеhttps://s0.rbk.ru/v6_top_pics/media/img/7/15/347799879119157.jpegimage/jpegoriginallimitedMichael M. Santiago / Getty Images<p>Дмитрий Полянский</p> Посольство назвало провальными попытки ЕС втянуть США в войну с Россиейhttps://s0.rbk.ru/v6_top_pics/media/img/3/53/347799115330533.jpegimage/jpegoriginallimitedValerie Plesch / dpa / Global Look Press Лукашенко заявил о подготовке Белоруссии «по полной» на случай войныhttps://s0.rbk.ru/v6_top_pics/media/img/8/63/347793759727638.jpegimage/jpegoriginallimitedпресс-служба Президента Республики Беларусь<p>Александр Лукашенко</p>","У России никогда не было агрессивных намерений по отношению к Европе, в то время как западные страны «нагло лгут» о намерениях России, заявил Путин"
"«Все эти жуткие слова»: что такое ОФЗ и могут ли они заменить вклад","Радио","RBC","29.05.2026","https://www.rbc.ru/radio/29/05/2026/6a19bf959a794725f50c4f89","Что такое купон, дюрация и при чем тут Минфин? В «Инвестиционном часе» на Радио РБК Элина Тихонова и главный экономист «Т-Инвестиций» Софья Донец обсудили, как устроен рынок ОФЗ и может ли он заменить депозиты"
"Итоги саммита ЕАЭС в Казахстане. Эфир ЧЭЗ на телеканале РБК","Политика","RBC","29.05.2026","https://www.rbc.ru/politics/29/05/2026/6a19a6c09a7947446d24658a Путин и Лукашенко встретились на полях саммита ЕАЭС в Астанеhttps://s0.rbk.ru/v6_top_pics/media/img/8/85/347800636472858.jpegimage/jpegoriginallimitedАлександр Казаков / ТАСС<p>Александр Лукашенко и Владимир Путин</p> Лидеры ЕАЭС призвали Армению к референдуму по вопросу вступления в ЕСhttps://s0.rbk.ru/v6_top_pics/media/img/3/15/347800634525153.jpegimage/jpegoriginallimitedЗураб Джавахадзе / ТАСС Путин рассказал, что приносит выгоду каждому участнику ЕАЭС","Саммит Евразийского экономического союза в Казахстане подходит к концу."
"Путин рассказал, что изменится для граждан Армении после выхода из ЕАЭС","Политика","RBC","29.05.2026","https://www.rbc.ru/rbcfreenews/6a19bdad9a7947205e3e2d6a Путин заявил о готовности делиться ИИ-технологиями со странами ЕАЭСhttps://s0.rbk.ru/v6_top_pics/media/img/8/55/347800713660558.jpegimage/jpegoriginallimitedАлександр Щербак / ТАСС<p>Владимир Путин</p> Армения предложила ускорить расширение зон свободной торговли с ЕАЭСhttps://s0.rbk.ru/v6_top_pics/media/img/2/87/347800658775872.jpegimage/jpegoriginallimitedАлександр Казаков / ТАСС<p>Мгер Григорян</p> Лукашенко заявил о нежелании ЕАЭС терять Армениюhttps://s0.rbk.ru/v6_top_pics/media/img/4/32/347800681127324.jpegimage/jpegoriginallimitedАдминистрация Президента России","Гражданам Армении в случае выхода страны из Евразийского экономического союза (ЕАЭС) придется оформлять патенты для работы в России, а также соблюдать другие требования, действующие для трудовых мигрантов из стран СНГ."
"Почему многие руководители совершают ошибки и как это исправить","Образование","RBC","29.05.2026","https://www.rbc.ru/education/29/05/2026/6a199e169a7947861a43a001 Тихое увольнение: 10 сигналов, что вас хотят уволитьhttps://s0.rbk.ru/v6_top_pics/media/img/4/97/347663969794974.jpegimage/jpegoriginallimitedAleksey Smyshlyaev / Global Look Press Синдром «вечного студента». Почему онлайн-курсы не приводят к результатуhttps://s0.rbk.ru/v6_top_pics/media/img/0/80/347786812581800.jpegimage/jpegoriginallimitedLuca Bravo / Unsplash Конец офисной показухи. Как сотрудники 45+ меняют компании в Россииhttps://s0.rbk.ru/v6_top_pics/media/img/7/27/347788512115277.jpegimage/jpegoriginallimitedКонстантин Кокошкин / Global Look Press Где брать силы на карьеру после 45: начните управлять временем по-новомуhttps://s0.rbk.ru/v6_top_pics/media/img/7/77/347787455933777.jpegimage/jpegoriginallimitedРБК","Многие руководители знают о когнитивных ловушках. Но теоретические знания не спасают: в стрессовой ситуации мозг все равно выбирает быстрый и порой ошибочный путь. Рассказываем, как внедрить систему принятия решений, которая снижает число типичных управленческих ошибок"
"Путин заявил о невозможности назвать сроки окончания спецоперации","Политика","RBC","29.05.2026","https://www.rbc.ru/rbcfreenews/6a19bda69a794735aded2acf МИД назвал условие для урегулирования конфликта на Украинеhttps://s0.rbk.ru/v6_top_pics/media/img/3/80/347796958372803.jpegimage/jpegoriginallimitedRoman Pilipey / Getty Images Путин назвал выбор переговорщика для контактов с Россией делом ЕСhttps://s0.rbk.ru/v6_top_pics/media/img/3/43/347800740023433.jpegimage/jpegoriginallimitedАдминистрация Президента России<p>Владимир Путин</p> Путин ответил на вопрос о залетевшем в Румынию беспилотникеhttps://s0.rbk.ru/v6_top_pics/media/img/4/47/347800702623474.jpegimage/jpegoriginallimitedАлександр Казаков / ТАСС<p>Владимир Путин</p>","Назвать конкретные сроки завершения конфликта на Украине невозможно, пока продолжаются боевые действия, заявил на пресс-конференции по итогам саммита ЕАЭС в Астане, передает корреспондент РБК."
"Путин заявил о готовности делиться ИИ-технологиями со странами ЕАЭС","Политика","RBC","29.05.2026","https://www.rbc.ru/rbcfreenews/6a19baef9a79472bb0ee2d0c Путин заявил о готовности науки и кадров в России для развития ИИ Путин назвал неизбежной замену низкоквалифицированных кадров на ИИ «Единая Россия» призвала найти подход к использованию ИИ студентамиhttps://s0.rbk.ru/v6_top_pics/media/img/0/19/347799124141190.jpegimage/jpegoriginallimitedВладимир Андреев / РБК","Россия стала одной их трех стран в мире, которая развивает свои собственные технологии искусственного интеллекта и готова делиться ими с партнерами по ЕАЭС."
"Путин объяснил выделение Россией кредита на постройку АЭС в Казахстане","Политика","RBC","29.05.2026","https://www.rbc.ru/politics/29/05/2026/6a19b7329a7947e1cc9f408a Россия договорилась с Казахстаном о валютном свопе и АЭС за $16,4 млрдhttps://s0.rbk.ru/v6_top_pics/media/img/6/58/347799710851586.jpegimage/jpegoriginallimitedТурар Казангапов / Reuters<p>Владимир Путин и Касым-Жомарт Токаев</p> Строительство первой АЭС в Казахстане оценили в $16,4 млрдhttps://s0.rbk.ru/v6_top_pics/media/img/7/43/347799673971437.jpegimage/jpegoriginallimitedЕртай Сарбасов / РИА Новости<p>Проект атомной электростанции, строительство которой намечено у села Улькен в Казахстане</p> Казахстан нашел, кто построит ему третью АЭС вместо Россииhttps://s0.rbk.ru/v6_top_pics/media/img/4/38/347539508940384.jpegimage/jpegoriginallimitedatomagencykz / Telegram","Предоставление кредита Казахстану на строительство АЭС говорит о дальнейшем возврате суммы с процентами, а не является подарком Москвы, подчеркнул Путин. Он также перечислил выгоды для России от соглашения"
"Что такое противопехотная мина «Лепесток»","База знаний","RBC","29.05.2026","https://www.rbc.ru/base/29/05/2026/6a197f529a7947fcc4f8e0b8","Что такое мина &laquo;Лепесток&raquo;Мина &laquo;Лепесток&raquo;&nbsp;&mdash; разговорное название противопехотной фугасной мины ПФМ-1 советского производства."
"В контракт Шайдорова включили обязательство по медали на ОИ‑2030","Спорт","RBC","29.05.2026","https://www.rbc.ru/sport/29/05/2026/6a19b4139a7947814651aa4a Победитель Олимпиады Шайдоров не примет участия в ледовом шоу в Алма-Атеhttps://s0.rbk.ru/v6_top_pics/media/img/9/68/347720925708689.jpegimage/jpegoriginallimitedSarah Stier / Getty Images<p>Михаил Шайдоров</p> Победитель Олимпиады Шайдоров не попал в заявку на чемпионат мираhttps://s0.rbk.ru/v6_top_pics/media/img/5/55/347720242460555.jpegimage/jpegoriginallimited Maja Hitij / Getty Images<p>Михаил Шайдоров</p> Токаев наградил орденами Шайдорова и Урманова за успехи на Олимпиадеhttps://s0.rbk.ru/v6_top_pics/media/img/9/35/347720176560359.jpegimage/jpegoriginallimitedakorda.kz<p>Михаил&nbsp;Шайдоров&nbsp;и Касым-Жомарт Токаев</p>","По словам спортсмена, в контракте, срок действия которого истекает в конце 2026 года, содержится пункт, обязывающий его завоевать медаль на Олимпийских играх 2030 года"
